,route-collected,name,type,departure_time,arrival_time,duration,price,seats_available,rating
0,Hyderabad to Vijayawada,APSRTC - 2786,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",20:00,03:45,07h 45m,INR 436,11 Seats available,4.4
1,Hyderabad to Vijayawada,APSRTC - 2688,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",20:00,02:45,06h 45m,INR 436,15 Seats available,2.9
2,Hyderabad to Vijayawada,APSRTC - 2678,NIGHT RIDER (SEATER CUM SLEEPER),20:00,03:00,07h 00m,INR 595,16 Seats available,4.4
3,Hyderabad to Vijayawada,APSRTC - 91212,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",20:15,03:30,07h 15m,INR 436,10 Seats available,3.9
4,Hyderabad to Vijayawada,APSRTC - 2549,NIGHT RIDER (SEATER CUM SLEEPER),20:15,02:15,06h 00m,INR 595,25 Seats available,2.6
5,Hyderabad to Vijayawada,IntrCity SmartBus,A/C Seater / Sleeper (2+1),21:55,06:00,08h 05m,INR 559,8 Seats available,4.6
6,Hyderabad to Vijayawada,IntrCity SmartBus,AC Sleeper (2+1),22:45,06:55,08h 10m,INR 869,12 Seats available,4.6
7,Hyderabad to Vijayawada,FRESHBUS,Electric A/C Seater (2+2),21:00,05:40,08h 40m,574,10 Seats available,4.6
8,Hyderabad to Vijayawada,AdSai RK Travels,Non A/C Seater / Sleeper (2+1),21:40,04:05,06h 25m,INR 560,10 Seats available,4.8
9,Hyderabad to Vijayawada,FRESHBUS,Electric A/C Seater (2+2),22:30,06:30,08h 00m,524,18 Seats available,4.6
10,Vijayawada to Hyderabad,IntrCity SmartBus,A/C Seater / Sleeper (2+1),22:40,05:55,07h 15m,INR 639,9 Seats available,4.6
11,Vijayawada to Hyderabad,FRESHBUS,Electric A/C Seater (2+2),21:10,03:30,06h 20m,574,9 Seats available,4.7
12,Vijayawada to Hyderabad,FRESHBUS,Electric A/C Seater (2+2),22:40,05:05,06h 25m,574,14 Seats available,4.7
13,Vijayawada to Hyderabad,AdSai RK Travels,Non A/C Seater / Sleeper (2+1),22:00,05:25,07h 25m,INR 560,7 Seats available,3.9
14,Vijayawada to Hyderabad,IntrCity SmartBus,A/C Seater / Sleeper (2+1),22:50,06:00,07h 10m,INR 639,6 Seats available,4.6
15,Bangalore to Tirupati,APSRTC - 5082,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",20:20,02:25,06h 05m,INR 426,15 Seats available,3.6
16,Bangalore to Tirupati,APSRTC - 5501,SAPTAGIRI EXPRESS,20:30,02:30,06h 00m,INR 296,23 Seats available,3.9
17,Bangalore to Tirupati,APSRTC - 4632,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",20:40,03:00,06h 20m,INR 426,29 Seats available,4.2
18,Bangalore to Tirupati,APSRTC - 5497,SAPTAGIRI EXPRESS,21:00,03:00,06h 00m,INR 296,37 Seats available,4.2
19,Bangalore to Tirupati,APSRTC - 5084,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:10,03:15,06h 05m,INR 426,19 Seats available,4.0
20,Bangalore to Tirupati,APSRTC - 5119,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:20,03:30,06h 10m,INR 426,31 Seats available,3.9
21,Bangalore to Tirupati,APSRTC - 5457,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:30,03:30,06h 00m,INR 426,30 Seats available,3.9
22,Bangalore to Tirupati,APSRTC - 5469,SAPTAGIRI EXPRESS,21:30,03:30,06h 00m,INR 296,26 Seats available,4.4
23,Bangalore to Tirupati,APSRTC - 5672,Express Non AC Seater 2+3,21:30,03:55,06h 25m,INR 296,31 Seats available,3.7
24,Bangalore to Tirupati,APSRTC - 5315,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:45,04:00,06h 15m,INR 426,31 Seats available,4.2
25,Bangalore to Tirupati,APSRTC - 5094,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:45,03:20,05h 35m,INR 426,18 Seats available,3.4
26,Bangalore to Tirupati,APSRTC - 5449,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:45,04:45,07h 00m,INR 426,19 Seats available,3.9
27,Bangalore to Tirupati,APSRTC - 5625,Express Non AC Seater 2+3,22:00,04:00,06h 00m,INR 312,24 Seats available,3.9
28,Bangalore to Tirupati,APSRTC - 5028,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:00,03:35,05h 35m,INR 426,14 Seats available,4.4
29,Bangalore to Tirupati,APSRTC - 5447,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:10,04:10,06h 00m,INR 426,31 Seats available,4.3
30,Bangalore to Tirupati,APSRTC - 5086,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:25,04:00,05h 35m,INR 426,18 Seats available,4.2
31,Bangalore to Tirupati,APSRTC - 5463,SAPTAGIRI EXPRESS,22:30,04:30,06h 00m,INR 296,31 Seats available,4.4
32,Bangalore to Tirupati,APSRTC - 47239,Express Non AC Seater 2+3,22:30,06:00,07h 30m,INR 296,16 Seats available,3.2
33,Bangalore to Tirupati,APSRTC - 47148,INDRA(A.C. Seater),22:30,03:45,05h 15m,INR 506,28 Seats available,4.2
34,Bangalore to Tirupati,APSRTC - 5459,SAPTAGIRI EXPRESS,23:00,05:00,06h 00m,INR 296,38 Seats available,3.9
35,Bangalore to Tirupati,APSRTC - 5445,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",23:15,04:40,05h 25m,INR 426,27 Seats available,3.8
36,Bangalore to Tirupati,APSRTC - 5465,SAPTAGIRI EXPRESS,23:20,05:20,06h 00m,INR 296,43 Seats available,4.1
37,Bangalore to Tirupati,APSRTC - 5453,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",23:30,05:30,06h 00m,INR 426,22 Seats available,4.3
38,Bangalore to Tirupati,APSRTC - 5461,SAPTAGIRI EXPRESS,23:55,05:55,06h 00m,INR 296,35 Seats available,4.1
39,Bangalore to Tirupati,NueGo,Electric A/C Seater (2+2),18:50,23:55,29h 05m,361,1 Seat available,3.9
40,Bangalore to Tirupati,Sai Balaji Travels,A/C Seater / Sleeper (2+1),18:50,23:59,05h 09m,INR 599,18 Seats available,3.4
41,Bangalore to Tirupati,Navayuga Travels,A/C Sleeper (2+1),18:50,22:40,03h 50m,INR 809,5 Seats available,4.2
42,Bangalore to Tirupati,VV Vinayak Travels,Non A/C Seater / Sleeper (2+1),18:50,00:35,05h 45m,429,5 Seats available,3.3
43,Bangalore to Tirupati,FlixBus,A/C Sleeper (2+1),19:00,01:20,06h 20m,INR 704.46,10 Seats available,3.4
44,Bangalore to Tirupati,Shyamoli Paribahan Pvt Ltd,Volvo 9600 A/C Seater/Sleeper (2+1),19:00,23:30,04h 30m,INR 409,6 Seats available,3.1
45,Bangalore to Tirupati,BSRM Travels,Non A/C Seater / Sleeper (2+1),20:45,03:50,07h 05m,404,5 Seats available,4.6
46,Bangalore to Tirupati,AdFRESHBUS,Electric A/C Seater (2+2),23:40,05:55,06h 15m,293,19 Seats available,4.6
47,Bangalore to Tirupati,Kaveri Travels,A/C Seater / Sleeper (2+1),19:00,23:30,04h 30m,INR 539,11 Seats available,3.7
48,Bangalore to Tirupati,Balaji Tourist,Volvo Multi-Axle A/C Semisleeper (2+2),19:00,03:00,08h 00m,INR 1500,1 Seat available,3.0
49,Bangalore to Kadapa,APSRTC - 50079,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",20:15,03:15,07h 00m,INR 472,29 Seats available,4.3
50,Bangalore to Kadapa,APSRTC - 6558,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",20:30,03:00,06h 30m,INR 472,14 Seats available,4.8
51,Bangalore to Kadapa,APSRTC - 6017,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:00,04:00,07h 00m,INR 472,27 Seats available,4.0
52,Bangalore to Kadapa,APSRTC - 50062,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:45,04:45,07h 00m,INR 472,32 Seats available,3.6
53,Bangalore to Kadapa,APSRTC - 6241,"ULTRA DELUXE (NON-AC, 2+2 PUSH BACK)",22:00,04:30,06h 30m,INR 412,34 Seats available,3.0
54,Bangalore to Kadapa,APSRTC - 9253,INDRA(A.C. Seater),22:15,05:15,07h 00m,INR 526,33 Seats available,3.8
55,Bangalore to Kadapa,APSRTC - 50805,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:30,04:30,06h 00m,INR 472,13 Seats available,3.1
56,Bangalore to Kadapa,APSRTC - 6007,INDRA(A.C. Seater),22:40,05:40,07h 00m,INR 526,31 Seats available,4.0
57,Bangalore to Kadapa,APSRTC - 6208,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:45,04:50,06h 05m,INR 472,16 Seats available,4.0
58,Bangalore to Kadapa,APSRTC - 9489,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",23:00,05:00,06h 00m,INR 472,16 Seats available,3.7
59,Bangalore to Kadapa,APSRTC - 50192,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),23:15,04:30,05h 15m,INR 716,44 Seats available,3.9
60,Bangalore to Kadapa,APSRTC - 6238,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",23:30,05:30,06h 00m,INR 472,23 Seats available,3.9
61,Bangalore to Kadapa,APSRTC - 9257,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),23:45,05:00,05h 15m,INR 716,36 Seats available,4.4
62,Bangalore to Kadapa,Shiva Parvathi Tours And Travels,Non A/C Seater / Sleeper (2+1),19:00,02:30,07h 30m,INR 400,17 Seats available,4.0
63,Bangalore to Kadapa,BHAIRAVA TOURS AND TRAVELS,Non A/C Seater / Sleeper (2+1),19:15,03:00,07h 45m,INR 399,19 Seats available,3.5
64,Bangalore to Kadapa,S R Travels,Non A/C Seater / Sleeper (2+1),19:15,03:15,08h 00m,INR 550,9 Seats available,4.2
65,Bangalore to Kadapa,AdAR & BCVR Travels,A/C Sleeper (2+1),20:40,04:30,07h 50m,INR 700,15 Seats available,3.8
66,Bangalore to Kadapa,Royal Voyage Travels (RVT),A/C Seater / Sleeper (2+1),19:20,03:25,08h 05m,INR 500,15 Seats available,3.2
67,Bangalore to Kadapa,Giridhar Tours and Travels,A/C Sleeper (2+1),19:20,03:15,07h 55m,INR 940,14 Seats available,4.1
68,Bangalore to Kadapa,Amara Tours And Travels,A/C Seater / Sleeper (2+1),19:30,03:00,07h 30m,INR 400,16 Seats available,4.4
69,Bangalore to Kadapa,AdAR & BCVR Travels,Non A/C Seater / Sleeper (2+1),21:00,04:00,07h 00m,INR 399,19 Seats available,4.5
70,Bangalore to Kadapa,Royal Voyage Travels,Non A/C Seater / Sleeper (2+1),19:30,03:25,07h 55m,INR 600,8 Seats available,3.2
71,Bangalore to Kadapa,Sri Vinayaka Travels,NON A/C Sleeper (2+1),19:45,04:45,09h 00m,INR 699,1 Seat available,4.5
72,Kakinada to Visakhapatnam,Gaganasri Travels,Non A/C Seater / Sleeper (2+1),23:50,03:30,03h 40m,INR 5000,1 Seat available,No rating
73,Hyderabad to Ongole,APSRTC - 5906,INDRA(A.C. Seater),20:00,05:30,09h 30m,INR 632,22 Seats available,4.2
74,Hyderabad to Ongole,APSRTC - 5926,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",20:15,05:45,09h 30m,INR 522,13 Seats available,4.1
75,Hyderabad to Ongole,APSRTC - 5020,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),20:30,04:15,07h 45m,INR 805,21 Seats available,3.5
76,Hyderabad to Ongole,APSRTC - 5876,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",20:30,05:30,09h 00m,INR 555,14 Seats available,4.3
77,Hyderabad to Ongole,APSRTC - 5381,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",20:30,07:00,10h 30m,INR 624,23 Seats available,4.7
78,Hyderabad to Ongole,APSRTC - 5914,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",20:40,05:30,08h 50m,INR 522,31 Seats available,3.7
79,Hyderabad to Ongole,APSRTC - 5928,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",20:45,05:00,08h 15m,INR 555,8 Seats available,4.0
80,Hyderabad to Ongole,APSRTC - 58231,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",20:50,05:45,08h 55m,INR 555,24 Seats available,4.5
81,Hyderabad to Ongole,APSRTC - 5863,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:00,05:15,08h 15m,INR 555,16 Seats available,4.4
82,Hyderabad to Ongole,APSRTC - 48604,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),21:00,05:10,08h 10m,INR 802,28 Seats available,4.2
83,Hyderabad to Ongole,APSRTC - 45902,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:10,06:30,09h 20m,INR 522,18 Seats available,4.3
84,Hyderabad to Ongole,APSRTC - 5920,VENNELA (A.C. SLEEPER),21:15,05:30,08h 15m,INR 934,3 Seats available,4.2
85,Hyderabad to Ongole,APSRTC - 5958,STAR LINER(NON-AC SLEEPER 2+1),21:15,05:25,08h 10m,INR 677,7 Seats available,4.7
86,Hyderabad to Ongole,APSRTC - 48601,INDRA(A.C. Seater),21:20,05:00,07h 40m,INR 671,24 Seats available,4.3
87,Hyderabad to Ongole,APSRTC - 48493,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:20,05:45,08h 25m,INR 522,16 Seats available,3.8
88,Hyderabad to Ongole,APSRTC - 5904,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),21:25,05:30,08h 05m,INR 802,30 Seats available,4.3
89,Hyderabad to Ongole,APSRTC - 9228,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:50,06:15,08h 25m,INR 522,25 Seats available,3.8
90,Hyderabad to Ongole,APSRTC - 5379,INDRA(A.C. Seater),22:00,05:55,07h 55m,INR 632,28 Seats available,4.2
91,Hyderabad to Ongole,APSRTC - 5726,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:10,06:15,08h 05m,INR 555,14 Seats available,3.8
92,Hyderabad to Ongole,Sri Vengamamba Bus Transport (SVBT),A/C Seater / Sleeper (2+1),21:45,06:15,08h 30m,INR 619,6 Seats available,4.4
93,Hyderabad to Ongole,FlixBus,A/C Sleeper (2+1),22:00,05:40,07h 40m,INR 883.04,4 Seats available,4.1
94,Hyderabad to Ongole,V Kaveri Travels,NON A/C Sleeper (2+1),21:30,05:30,08h 00m,INR 700,2 Seats available,4.3
95,Hyderabad to Ongole,V Kaveri Travels,Scania AC Multi Axle Sleeper (2+1),21:00,05:45,08h 45m,INR 1100,5 Seats available,4.0
96,Hyderabad to Ongole,Vikram Travels,A/C Seater / Sleeper (2+1),21:00,05:30,08h 30m,INR 789,12 Seats available,4.3
97,Hyderabad to Ongole,IntrCity SmartBus,A/C Sleeper (2+1),21:40,05:50,08h 10m,INR 1199,2 Seats available,5.0
98,Hyderabad to Ongole,Yolo Bus,A/C Sleeper (2+1),22:20,05:13,06h 53m,INR 1200,7 Seats available,4.1
99,Hyderabad to Ongole,Sri Lakshmi Narasimha Travels (SLNT),Non A/C Seater / Sleeper (2+1),20:15,04:30,08h 15m,INR 500,10 Seats available,4.1
100,Hyderabad to Ongole,Kaveri Travels,Volvo Multi Axle A/C Sleeper I-Shift B11R (2+1),20:40,05:45,09h 05m,INR 1239,2 Seats available,4.3
101,Hyderabad to Ongole,KMBT Travels,NON A/C Hi-Tech Push Back (2+2),19:30,05:00,09h 30m,427,26 Seats available,4.6
102,Hyderabad to Ongole,Sri Vengamamba Bus Transport (SVBT),A/C Sleeper (2+1),21:40,06:15,08h 35m,INR 787,4 Seats available,4.0
103,Hyderabad to Ongole,Mozo travels,A/C Sleeper (2+1),20:35,05:15,08h 40m,1300,3 Seats available,4.2
104,Hyderabad to Ongole,Sri Lakshmi Narasimha Travels (SLNT),Non A/C Seater / Sleeper (2+1),21:47,05:15,07h 28m,INR 499,7 Seats available,3.8
105,Hyderabad to Ongole,KKaveri Travels,Non A/C Seater / Sleeper (2+1),20:45,05:40,08h 55m,INR 600,3 Seats available,3.2
106,Hyderabad to Ongole,VV Vinayak Travels,Non A/C Seater / Sleeper (2+1),21:10,06:00,08h 50m,INR 585,13 Seats available,3.6
107,Hyderabad to Ongole,V Kaveri Travels,Volvo Multi-Axle A/C Sleeper (2+1),21:00,05:30,08h 30m,INR 1000,7 Seats available,3.5
108,Hyderabad to Ongole,KKaveri Travels,Volvo Multi-Axle A/C Sleeper (2+1),20:45,04:30,07h 45m,INR 1200,3 Seats available,3.6
109,Hyderabad to Ongole,SAI PRASANNA TRAVELS,Non A/C Seater / Sleeper (2+1),21:30,05:30,08h 00m,INR 477,14 Seats available,3.1
110,Hyderabad to Ongole,Sri Krishna Travels,Non A/C Seater / Sleeper (2+1),21:00,05:30,08h 30m,INR 700,3 Seats available,3.1
111,Hyderabad to Ongole,KMBT Travels,NON A/C Sleeper (2+1),21:45,05:00,07h 15m,618,5 Seats available,3.9
112,Hyderabad to Ongole,VV Vinayak Travels,Non A/C Seater / Sleeper (2+1),21:40,06:00,08h 20m,INR 555,24 Seats available,3.3
113,Hyderabad to Ongole,Kaveri Travels,Non A/C Seater / Sleeper (2+1),20:30,06:30,10h 00m,INR 450,4 Seats available,3.4
114,Hyderabad to Ongole,KMBT Travels,NON A/C Hi-Tech Push Back (2+2),21:10,05:30,08h 20m,570,13 Seats available,3.2
115,Hyderabad to Ongole,Vihari Travels,NON AC Seater / Sleeper 2+1,20:30,04:15,07h 45m,475,8 Seats available,3.4
116,Hyderabad to Ongole,Morning Star Travels,A/C Sleeper (2+1),22:00,05:15,07h 15m,INR 990,3 Seats available,3.4
117,Hyderabad to Ongole,Sri Tulasi Tours and Travels,A/C Seater / Sleeper (2+1),20:10,03:30,07h 20m,INR 649,7 Seats available,3.1
118,Hyderabad to Ongole,Sri Krishna Travels,Volvo Multi-Axle A/C Sleeper (2+1),20:10,05:20,09h 10m,INR 1100,3 Seats available,3.5
119,Hyderabad to Ongole,Padmavathi Travels,A/C Sleeper (2+1),21:45,05:30,07h 45m,INR 1200,12 Seats available,3.4
120,Hyderabad to Ongole,Kaveri Travels,Non A/C Seater / Sleeper (2+1),19:40,04:30,08h 50m,INR 700,3 Seats available,3.2
121,Hyderabad to Ongole,Cherry tours&travels,Non A/C Seater / Sleeper (2+1),21:50,06:00,08h 10m,665,13 Seats available,3.5
122,Hyderabad to Ongole,Sri Laxmi Sravanthi Siva Tours And Travels,Non A/C Seater / Sleeper (2+1),21:46,06:00,08h 14m,INR 499,6 Seats available,3.6
123,Hyderabad to Ongole,Sri Krishna Travels,A/C Sleeper (2+1),21:00,05:30,08h 30m,INR 1190,7 Seats available,3.6
124,Hyderabad to Ongole,VV Vinayak Travels,A/C Sleeper (2+1),21:40,06:00,08h 20m,INR 1070,17 Seats available,3.3
125,Hyderabad to Ongole,V Kaveri Travels,Non A/C Seater / Sleeper (2+1),21:00,05:15,08h 15m,INR 820,1 Seat available,3.8
126,Hyderabad to Ongole,V Kaveri Travels,Non A/C Seater / Sleeper (2+1),21:00,06:05,09h 05m,INR 640,1 Seat available,3.8
127,Ongole to Hyderabad,APSRTC - 5913,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",20:30,04:16,07h 46m,INR 590,5 Seats available,3.1
128,Ongole to Hyderabad,APSRTC - 45901,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:00,04:20,07h 20m,INR 555,5 Seats available,4.0
129,Ongole to Hyderabad,APSRTC - 5915,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:15,05:20,08h 05m,INR 605,4 Seats available,2.8
130,Ongole to Hyderabad,APSRTC - 5725,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:20,03:35,06h 15m,INR 555,10 Seats available,3.6
131,Ongole to Hyderabad,APSRTC - 5957,STAR LINER(NON-AC SLEEPER 2+1),21:30,04:00,06h 30m,INR 719,2 Seats available,4.1
132,Ongole to Hyderabad,APSRTC - 5927,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:45,04:15,06h 30m,INR 555,10 Seats available,4.7
133,Ongole to Hyderabad,APSRTC - 5069,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:00,04:40,06h 40m,INR 556,7 Seats available,2.9
134,Ongole to Hyderabad,APSRTC - 5378,INDRA(A.C. Seater),22:00,04:34,06h 34m,INR 671,11 Seats available,4.3
135,Ongole to Hyderabad,APSRTC - 5858,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:00,05:27,07h 27m,INR 555,7 Seats available,4.6
136,Ongole to Hyderabad,APSRTC - 5862,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:15,05:25,07h 10m,INR 555,12 Seats available,4.4
137,Ongole to Hyderabad,APSRTC - 5869,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:15,04:45,06h 30m,INR 555,9 Seats available,4.5
138,Ongole to Hyderabad,APSRTC - 48600,INDRA(A.C. Seater),22:15,04:43,06h 28m,INR 671,12 Seats available,3.5
139,Ongole to Hyderabad,APSRTC - 48603,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),22:30,05:03,06h 33m,INR 852,19 Seats available,3.7
140,Ongole to Hyderabad,APSRTC - 5875,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:30,04:53,06h 23m,INR 555,9 Seats available,3.5
141,Ongole to Hyderabad,APSRTC - 5993,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:30,05:50,07h 20m,INR 555,6 Seats available,3.8
142,Ongole to Hyderabad,APSRTC - 5925,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:45,04:15,05h 30m,INR 555,12 Seats available,3.9
143,Ongole to Hyderabad,APSRTC - 5019,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),22:55,04:30,05h 35m,INR 855,15 Seats available,2.9
144,Ongole to Hyderabad,APSRTC - 5919,VENNELA (A.C. SLEEPER),23:00,05:36,06h 36m,INR 992,1 Seat available,4.0
145,Ongole to Hyderabad,APSRTC - 5905,INDRA(A.C. Seater),23:00,04:30,05h 30m,INR 671,14 Seats available,4.4
146,Ongole to Hyderabad,APSRTC - 5903,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),23:30,04:10,04h 40m,INR 852,14 Seats available,4.4
147,Ongole to Hyderabad,APSRTC - 5053,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",23:30,05:00,05h 30m,INR 556,4 Seats available,3.7
148,Ongole to Hyderabad,APSRTC - 48492,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",23:30,06:10,06h 40m,INR 555,8 Seats available,3.9
149,Ongole to Hyderabad,VKV Travels,A/C Sleeper (2+1),00:05,06:15,06h 10m,1606,5 Seats available,4.5
150,Ongole to Hyderabad,Kaveri Travels,A/C Sleeper (2+1),21:45,05:15,07h 30m,INR 1050,11 Seats available,4.2
151,Ongole to Hyderabad,Padmavathi Travels,A/C Sleeper (2+1),23:50,06:34,06h 44m,INR 2000,1 Seat available,4.5
152,Ongole to Hyderabad,V Kaveri Travels,Volvo Multi-Axle A/C Sleeper (2+1),22:00,06:10,08h 10m,INR 1150,5 Seats available,4.2
153,Ongole to Hyderabad,Kaveri Travels,NON AC Seater / Sleeper 2+1,23:10,06:45,07h 35m,INR 1000,2 Seats available,4.3
154,Ongole to Hyderabad,V Kaveri Travels,Scania AC Multi Axle Sleeper (2+1),23:20,06:25,07h 05m,INR 1400,2 Seats available,4.3
155,Ongole to Hyderabad,Kaveri Travels,Non A/C Seater / Sleeper (2+1),00:15,07:05,06h 50m,INR 780,6 Seats available,4.1
156,Ongole to Hyderabad,New Slnst Travels,A/C Sleeper (2+1),23:10,05:50,06h 40m,1139,7 Seats available,4.1
157,Ongole to Hyderabad,Kaveri Travels,Volvo Multi Axle A/C Sleeper I-Shift B11R (2+1),23:30,06:39,07h 09m,INR 1289,1 Seat available,4.4
158,Ongole to Hyderabad,Sri Vengamamba Bus Transport (SVBT),A/C Sleeper (2+1),22:30,06:05,07h 35m,INR 919,1 Seat available,4.6
159,Ongole to Hyderabad,V Kaveri Travels,NON A/C Sleeper (2+1),22:45,06:10,07h 25m,INR 1000,4 Seats available,4.4
160,Ongole to Hyderabad,VV Vinayak Travels,A/C Sleeper (2+1),22:10,06:40,08h 30m,INR 950,12 Seats available,4.0
161,Ongole to Hyderabad,V Kaveri Travels,NON A/C Sleeper (2+1),22:00,05:55,07h 55m,INR 900,5 Seats available,4.0
162,Ongole to Hyderabad,Kaveri Travels,Non A/C Seater / Sleeper (2+1),21:50,05:30,07h 40m,INR 450,1 Seat available,4.0
163,Ongole to Hyderabad,Vikram Travels,A/C Seater / Sleeper (2+1),23:15,06:18,07h 03m,INR 759,6 Seats available,4.8
164,Ongole to Hyderabad,VV Vinayak Travels,Non A/C Seater / Sleeper (2+1),22:20,06:10,07h 50m,INR 533,9 Seats available,3.4
165,Ongole to Hyderabad,KMBT Travels,NON A/C Hi-Tech Push Back (2+2),22:00,05:40,07h 40m,428,9 Seats available,3.6
166,Ongole to Hyderabad,VV Vinayak Travels,Non A/C Seater / Sleeper (2+1),22:30,06:40,08h 10m,INR 579,12 Seats available,3.8
167,Ongole to Hyderabad,Kamakshi Tours And Travels,Non A/C Seater / Sleeper (2+1),22:00,06:50,08h 50m,INR 2000,45 Seats available,3.7
168,Ongole to Hyderabad,SAI PRASANNA TRAVELS,Non A/C Seater / Sleeper (2+1),21:45,06:01,08h 16m,INR 450,2 Seats available,3.1
169,Ongole to Hyderabad,Sri Laxmi Sravanthi Siva Tours And Travels,Non A/C Seater / Sleeper (2+1),21:55,06:00,08h 05m,INR 599,6 Seats available,3.9
170,Ongole to Hyderabad,Sri Lakshmi Narasimha Travels (SLNT),Non A/C Seater / Sleeper (2+1),22:30,06:30,08h 00m,INR 690,6 Seats available,3.6
171,Ongole to Hyderabad,Vihari Travels,NON AC Seater / Sleeper 2+1,22:30,06:35,08h 05m,542,4 Seats available,3.6
172,Ongole to Hyderabad,Sri Sivanjali Bus,Non A/C Seater / Sleeper (2+1),22:15,05:50,07h 35m,INR 580,11 Seats available,3.2
173,Ongole to Hyderabad,Sri Krishna Travels,Non A/C Seater / Sleeper (2+1),22:30,05:45,07h 15m,INR 560,1 Seat available,3.5
174,Ongole to Hyderabad,KKaveri Travels,Non A/C Seater / Sleeper (2+1),21:30,05:55,08h 25m,INR 560,2 Seats available,3.5
175,Ongole to Hyderabad,KMBT Travels,NON A/C Hi-Tech Push Back (2+2),23:00,06:20,07h 20m,618,6 Seats available,3.5
176,Ongole to Hyderabad,Sri Sahasra Tours and Travels,A/C Seater / Sleeper (2+1),22:45,06:47,08h 02m,INR 560,2 Seats available,3.7
177,Ongole to Hyderabad,KKaveri Travels,Non A/C Seater / Sleeper (2+1),23:58,07:02,07h 04m,INR 780,9 Seats available,3.5
178,Ongole to Hyderabad,Rajeswari Travels,Non A/C Seater / Sleeper (2+1),23:50,06:27,06h 37m,INR 699,3 Seats available,3.6
179,Ongole to Hyderabad,V Kaveri Travels,Non A/C Seater / Sleeper (2+1),23:00,06:47,07h 47m,INR 660,4 Seats available,3.7
180,Ongole to Hyderabad,Cherry tours&travels,Non A/C Seater / Sleeper (2+1),22:45,06:15,07h 30m,665,7 Seats available,3.3
